Date,TLS12Successful,TLS12Timout,TLS12ProtocolNotSupported,TLS12RecvError,TLS12FailedVerification,TLS12PartialFile,TLS13Successful,TLS13Timout,TLS13ProtocolNotSupported,TLS13RecvError,TLS13FailedVerification,TLS13PartialFile
2019-06-06,69.6942,4.4375,4.767600000000001,7.240399999999999,13.854700000000001,0.005399999999999999,18.5841,4.3853,69.0777,7.238600000000001,0.7133999999999999,0.0007
2019-06-07,69.8909,4.4973,4.7143999999999995,7.204000000000001,13.689000000000002,0.004,18.7562,4.4466,68.8705,7.2053,0.7204999999999999,0.0006000000000000001
2019-06-09,70.387,4.3385,4.7393,6.8983,13.6332,0.0034,19.2042,4.2597000000000005,68.9207,6.8993,0.7145999999999999,0.00019999999999999998
2019-06-10,69.9886,4.1851,4.8824,6.753099999999999,14.185900000000002,0.0046,20.4882,4.1012,67.8832,6.751,0.7747,0.0006000000000000001
2019-06-11,69.8904,4.270899999999999,4.8196,6.8580000000000005,14.1574,0.0034999999999999996,20.5607,4.2034,67.5841,6.8576,0.7922,0.00039999999999999996
2019-06-12,70.01389999999999,4.206300000000001,4.8245000000000005,6.788600000000001,14.162700000000001,0.0038000000000000004,20.6182,4.1413,67.6586,6.789199999999999,0.7913,0.0006000000000000001
2019-06-13,70.0803,4.466,4.7437,7.112499999999999,13.592699999999999,0.0045000000000000005,18.720100000000002,4.430400000000001,69.0248,7.1135,0.7098,0.0007999999999999999
2019-06-14,70.2882,4.443,4.6902,7.048,13.525300000000001,0.0052,18.8382,4.4124,68.9795,7.045800000000001,0.7228,0.0009
2019-06-15,70.29180000000001,4.3774,4.6889,7.1481,13.488800000000001,0.0048000000000000004,18.9967,4.3504000000000005,68.8022,7.148899999999999,0.6999,0.00030000000000000003
2019-06-16,70.07520000000001,4.3872,4.7418000000000005,7.1283,13.6629,0.0043,19.0498,4.3507,68.7492,7.1293,0.7192999999999999,0.0007
2019-06-17,70.05839999999999,4.1778,4.890499999999999,6.708200000000001,14.1599,0.0048000000000000004,20.4148,4.138,67.963,6.7066,0.7757000000000001,0.001
2019-06-18,70.1102,4.3706000000000005,4.798,6.7412,13.975399999999999,0.0043,20.6311,4.282,67.545,6.740500000000001,0.7952000000000001,0.00039999999999999996
2019-06-19,70.2787,4.391,4.7339,7.052600000000001,13.538900000000002,0.004699999999999999,18.9854,4.3633999999999995,68.85719999999999,7.0525,0.7397,0.0007999999999999999
2019-06-20,70.4301,4.3959,4.743,6.989199999999999,13.4378,0.0036,18.9555,4.363700000000001,68.9661,6.990100000000001,0.7237,0.0006000000000000001
2019-06-21,70.5166,4.3859,4.7023,7.0326,13.3583,0.0041,19.1081,4.3468,68.79769999999999,7.0328,0.7135,0.0009
2019-06-22,70.6078,4.3317000000000005,4.6642,7.0579,13.333400000000001,0.004699999999999999,19.3088,4.3059,68.6319,7.055599999999999,0.6968,0.0007999999999999999
2019-06-23,70.5353,4.2669,4.7287,7.0285,13.4353,0.0049,19.4281,4.224399999999999,68.5786,7.027799999999999,0.7403,0.0005
2019-06-24,70.2538,4.1189,4.8734,6.7182,14.031099999999999,0.0044,20.7174,4.0634999999999994,67.7312,6.717099999999999,0.7696999999999999,0.0007999999999999999
2019-06-25,70.498,4.0664,4.7726999999999995,6.743,13.9156,0.0039,20.9259,4.0182,67.52289999999999,6.7456000000000005,0.7863,0.0007999999999999999
2019-06-26,70.42399999999999,4.3202,4.6811,7.0889999999999995,13.481099999999998,0.0042,19.0247,4.2851,68.8778,7.0882000000000005,0.7231,0.0007999999999999999
2019-06-27,70.6246,4.4116,4.6609,6.9846,13.313600000000001,0.0044,19.1524,4.3354,68.81049999999999,6.9844,0.7163,0.0007
2019-06-28,70.5728,4.3428,4.6053999999999995,7.0115,13.4634,0.0036,19.2554,4.3115,68.6872,7.0104,0.7345,0.0006000000000000001
2019-06-29,70.43639999999999,4.3731,4.6889,6.982099999999999,13.5152,0.0041,19.191,4.3219,68.774,6.9813,0.7312,0.00039999999999999996
2019-06-30,70.58109999999999,4.3421,4.7016,6.988900000000001,13.3808,0.0052,19.4213,4.3079,68.5414,6.988999999999999,0.739,0.0009
2019-07-01,70.7317,4.1199,4.7513,6.706099999999999,13.684899999999999,0.0057,21.0425,4.0503,67.4394,6.7044999999999995,0.7621,0.0007999999999999999
