Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnecitonEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;0.834;1560439831;sciencedirect.com;;131.159.0.2;443;97.005;301;TCP/TLS1.2;0.767;
13335;CLOUDFLARENET - Cloudflare;0.643;1560439831;sciencedirect.com;;131.159.0.2;443;84.174;301;TCP/TLS1.3;0.498;
13335;CLOUDFLARENET - Cloudflare;0.521;1560439831;discordapp.com;;131.159.0.2;443;50.146;200;TCP/TLS1.2;0.468;
13335;CLOUDFLARENET - Cloudflare;0.579;1560439832;discordapp.com;;131.159.0.2;443;270.088;200;TCP/TLS1.3;0.462;
13335;CLOUDFLARENET - Cloudflare;0.560;1560439832;gloyah.net;;131.159.0.2;443;96.382;200;TCP/TLS1.2;0.523;
13335;CLOUDFLARENET - Cloudflare;0.498;1560439832;gloyah.net;;131.159.0.2;443;43.068;200;TCP/TLS1.3;0.388;
13335;CLOUDFLARENET - Cloudflare;0.528;1560439833;canva.com;;131.159.0.2;443;75.021;301;TCP/TLS1.2;0.475;
13335;CLOUDFLARENET - Cloudflare;0.536;1560439833;canva.com;;131.159.0.2;443;59.699;301;TCP/TLS1.3;7.746;
13335;CLOUDFLARENET - Cloudflare;0.508;1560439833;mediafire.com;;131.159.0.2;443;65.877;301;TCP/TLS1.2;0.410;
13335;CLOUDFLARENET - Cloudflare;0.468;1560439833;mediafire.com;;131.159.0.2;443;50.391;301;TCP/TLS1.3;6.815;
13335;CLOUDFLARENET - Cloudflare;0.540;1560439833;medium.com;;131.159.0.2;443;71.756;200;TCP/TLS1.2;0.509;
13335;CLOUDFLARENET - Cloudflare;0.518;1560439834;medium.com;;131.159.0.2;443;63.977;200;TCP/TLS1.3;0.509;
13335;CLOUDFLARENET - Cloudflare;0.620;1560439834;udemy.com;;131.159.0.2;443;65.041;301;TCP/TLS1.2;0.461;
