Url,Ip,Holder,Asn
wordpress.com,192.0.78.9,AUTOMATTIC - Automattic,2635
google.com.tr,172.217.18.99,GOOGLE - Google LLC,15169
blogspot.com,216.58.205.233,GOOGLE - Google LLC,15169
google.ca,216.58.205.227,GOOGLE - Google LLC,15169
google.com.sg,172.217.23.131,GOOGLE - Google LLC,15169
discordapp.com,162.159.129.233,CLOUDFLARENET - Cloudflare,13335
google.com,216.58.210.14,GOOGLE - Google LLC,15169
google.co.jp,172.217.18.163,GOOGLE - Google LLC,15169
google.com.mx,172.217.23.163,GOOGLE - Google LLC,15169
google.it,172.217.22.67,GOOGLE - Google LLC,15169
google.co.uk,172.217.18.163,GOOGLE - Google LLC,15169
google.com.eg,172.217.16.195,GOOGLE - Google LLC,15169
blogger.com,172.217.22.41,GOOGLE - Google LLC,15169
canva.com,104.16.78.22,CLOUDFLARENET - Cloudflare,13335
thepiratebay.org,104.27.216.28,CLOUDFLARENET - Cloudflare,13335
instagram.com,52.201.133.23,AMAZON-AES - Amazon.com,14618
pixabay.com,104.18.141.87,CLOUDFLARENET - Cloudflare,13335
google.com.hk,172.217.22.99,GOOGLE - Google LLC,15169
google.es,172.217.16.131,GOOGLE - Google LLC,15169
google.fr,216.58.207.35,GOOGLE - Google LLC,15169
facebook.com,31.13.92.36,FACEBOOK - Facebook,32934
google.de,172.217.16.195,GOOGLE - Google LLC,15169
google.ru,172.217.22.35,GOOGLE - Google LLC,15169
spankbang.com,104.20.42.98,CLOUDFLARENET - Cloudflare,13335
chaturbate.com,104.16.147.241,CLOUDFLARENET - Cloudflare,13335
avito.ru,185.89.12.132,AVITO - KEH eCommerce LLC,201012
google.cn,172.217.18.99,GOOGLE - Google LLC,15169
gloyah.net,172.64.197.10,CLOUDFLARENET - Cloudflare,13335
github.com,140.82.118.3,GITHUB - GitHub,36459
udemy.com,104.16.91.52,CLOUDFLARENET - Cloudflare,13335
sciencedirect.com,162.159.129.81,CLOUDFLARENET - Cloudflare,13335
google.co.in,172.217.18.99,GOOGLE - Google LLC,15169
zoho.com,136.143.190.155,ZOHO-AS - ZOHO,2639
ilovepdf.com,104.20.1.94,CLOUDFLARENET - Cloudflare,13335
google.com.ar,172.217.22.99,GOOGLE - Google LLC,15169
messenger.com,31.13.92.10,FACEBOOK - Facebook,32934
medium.com,104.16.121.127,CLOUDFLARENET - Cloudflare,13335
aparat.com,185.147.178.13,SABAIDEA - Fannavaran-e Idea Pardaz-e Saba PJSC,44932
bukalapak.com,103.117.83.35,IDNIC-BUKALAPAK-AS-ID PT Bukalapak.com,135448
hdfcbank.com,104.18.94.72,CLOUDFLARENET - Cloudflare,13335
doubleclick.net,172.217.22.46,GOOGLE - Google LLC,15169
google.com.au,172.217.22.35,GOOGLE - Google LLC,15169
glassdoor.com,104.17.91.51,CLOUDFLARENET - Cloudflare,13335
google.com.br,216.58.206.3,GOOGLE - Google LLC,15169
namnak.com,172.64.202.4,CLOUDFLARENET - Cloudflare,13335
myanmarload.com,104.28.24.165,CLOUDFLARENET - Cloudflare,13335
kinogo.by,104.25.188.28,CLOUDFLARENET - Cloudflare,13335
instructure.com,54.191.191.127,AMAZON-02 - Amazon.com,16509
heavy.com,192.0.79.34,AUTOMATTIC - Automattic,2635
youtube.com,172.217.16.142,GOOGLE - Google LLC,15169
albawabhnews.com,104.31.79.167,CLOUDFLARENET - Cloudflare,13335
namu.wiki,104.19.251.66,CLOUDFLARENET - Cloudflare,13335
google.co.id,172.217.21.227,GOOGLE - Google LLC,15169
google.com.sa,172.217.16.163,GOOGLE - Google LLC,15169
feedly.com,104.20.59.241,CLOUDFLARENET - Cloudflare,13335
inquirer.net,104.20.1.140,CLOUDFLARENET - Cloudflare,13335
ria.ru,178.248.233.32,QRATOR - HLL LLC,197068
hesport.com,104.25.91.17,CLOUDFLARENET - Cloudflare,13335
ouo.io,104.20.1.139,CLOUDFLARENET - Cloudflare,13335
manoramaonline.com,2.16.31.2,AKAMAI-AS - Akamai Technologies,16625
indoxx1.show,104.26.6.55,CLOUDFLARENET - Cloudflare,13335
sohu.com,123.125.116.28,CHINA169-BJ China Unicom Beijing Province Network,4808
ensonhaber.com,104.20.60.198,CLOUDFLARENET - Cloudflare,13335
verystream.com,104.20.132.131,CLOUDFLARENET - Cloudflare,13335
google.ro,172.217.16.131,GOOGLE - Google LLC,15169
crunchyroll.com,104.20.18.239,CLOUDFLARENET - Cloudflare,13335
suara.com,104.20.183.76,CLOUDFLARENET - Cloudflare,13335
tradingview.com,35.160.152.202,AMAZON-02 - Amazon.com,16509
y2mate.com,104.23.131.73,CLOUDFLARENET - Cloudflare,13335
allegro.pl,185.31.27.160,QXL-NET-POLAND-AS - Allegro.pl sp. z o.o.,31621
tripadvisor.com,192.229.162.112,EDGECAST - MCI Communications Services,15133
otvfoco.com.br,104.18.204.222,CLOUDFLARENET - Cloudflare,13335
lordsfilm.tv,172.64.143.24,CLOUDFLARENET - Cloudflare,13335
google.com.tw,172.217.23.131,GOOGLE - Google LLC,15169
ninisite.com,104.20.68.156,CLOUDFLARENET - Cloudflare,13335
envato.com,104.18.252.82,CLOUDFLARENET - Cloudflare,13335
kissanime.ru,104.20.26.43,CLOUDFLARENET - Cloudflare,13335
rt.com,82.202.190.91,KL-KDP - Kaspersky Lab AO,209030
cinecalidad.to,104.31.6.173,CLOUDFLARENET - Cloudflare,13335
tahiamasr.com,104.31.67.172,CLOUDFLARENET - Cloudflare,13335
gstatic.com,172.217.18.99,GOOGLE - Google LLC,15169
subscene.com,104.27.181.8,CLOUDFLARENET - Cloudflare,13335
best2019-games-web1.com,104.18.34.201,CLOUDFLARENET - Cloudflare,13335
alwafd.news,104.27.135.53,CLOUDFLARENET - Cloudflare,13335
nexusmods.com,104.25.118.119,CLOUDFLARENET - Cloudflare,13335
hubspot.com,104.16.250.5,CLOUDFLARENET - Cloudflare,13335
alodokter.com,104.24.31.48,CLOUDFLARENET - Cloudflare,13335
v2ex.com,104.20.10.218,CLOUDFLARENET - Cloudflare,13335
overhedtrew.info,104.18.1.168,CLOUDFLARENET - Cloudflare,13335
google.com.pe,172.217.16.195,GOOGLE - Google LLC,15169
google.be,172.217.18.3,GOOGLE - Google LLC,15169
pexels.com,104.17.208.102,CLOUDFLARENET - Cloudflare,13335
popcash.net,104.25.177.17,CLOUDFLARENET - Cloudflare,13335
google.co.za,216.58.207.35,GOOGLE - Google LLC,15169
1337x.to,104.31.17.3,CLOUDFLARENET - Cloudflare,13335
google.cl,172.217.18.163,GOOGLE - Google LLC,15169
heroesofrpg.com,104.24.122.50,CLOUDFLARENET - Cloudflare,13335
sdpnoticias.com,104.20.0.23,CLOUDFLARENET - Cloudflare,13335
google.com.vn,216.58.210.3,GOOGLE - Google LLC,15169
wordpress.org,198.143.164.252,SINGLEHOP-LLC - SingleHop LLC,32475
getawesome2.com,172.64.131.15,CLOUDFLARENET - Cloudflare,13335
nyaa.si,185.178.208.182,DDOS-GUARD - DDOS-GUARD LTD,57724
prnt.sc,104.25.250.35,CLOUDFLARENET - Cloudflare,13335
urdupoint.com,104.17.14.38,CLOUDFLARENET - Cloudflare,13335
txxx.com,104.20.71.110,CLOUDFLARENET - Cloudflare,13335
2movierulz.ac,172.64.166.36,CLOUDFLARENET - Cloudflare,13335
quizlet.com,104.16.18.221,CLOUDFLARENET - Cloudflare,13335
4pda.ru,104.20.41.23,CLOUDFLARENET - Cloudflare,13335
nypost.com,192.0.79.33,AUTOMATTIC - Automattic,2635
google.com.co,216.58.205.227,GOOGLE - Google LLC,15169
apkpure.com,104.20.82.194,CLOUDFLARENET - Cloudflare,13335
codepen.io,104.17.14.48,CLOUDFLARENET - Cloudflare,13335
merriam-webster.com,192.229.173.26,EDGECAST - MCI Communications Services,15133
google.com.pk,216.58.208.35,GOOGLE - Google LLC,15169
avgle.com,104.27.155.26,CLOUDFLARENET - Cloudflare,13335
westernjournal.com,104.20.136.61,CLOUDFLARENET - Cloudflare,13335
google.co.ao,216.58.208.35,GOOGLE - Google LLC,15169
ctrip.com,140.207.228.16,CNCGROUP-SH China Unicom Shanghai network,17621
google.co.ve,172.217.16.195,GOOGLE - Google LLC,15169
kooora.com,45.60.63.37,INCAPSULA - Incapsula Inc,19551
pelisplus.co,104.27.164.20,CLOUDFLARENET - Cloudflare,13335
mediafire.com,104.19.194.29,CLOUDFLARENET - Cloudflare,13335
google.pl,216.58.207.67,GOOGLE - Google LLC,15169
google.co.kr,216.58.208.35,GOOGLE - Google LLC,15169
booking.com,5.57.16.220,BOOKING-BV - Booking.com BV,43996
google.com.ua,172.217.18.3,GOOGLE - Google LLC,15169
yts.lt,104.25.135.117,CLOUDFLARENET - Cloudflare,13335
chouftv.ma,104.20.9.75,CLOUDFLARENET - Cloudflare,13335
hespress.com,104.20.114.3,CLOUDFLARENET - Cloudflare,13335
files.wordpress.com,192.0.72.3,AUTOMATTIC - Automattic,2635
discogs.com,216.151.17.150,OPUS-INTERACTIVE - Opus Interactive,14380
animeflv.net,104.24.28.35,CLOUDFLARENET - Cloudflare,13335
klix.ba,104.20.214.32,CLOUDFLARENET - Cloudflare,13335
kknews.cc,104.20.201.9,CLOUDFLARENET - Cloudflare,13335
rbc.ru,185.72.229.13,ROSBUSINESSCONSULTING-AS - ROSBUSINESSCONSULTING JSC,20848
e-hentai.org,104.20.27.25,CLOUDFLARENET - Cloudflare,13335
ozon.ru,45.60.34.164,INCAPSULA - Incapsula Inc,19551
vnexpress.net,111.65.250.2,FPTONLINE-AS-VN FPT Online JSC,45894
ecleneue.com,104.28.13.95,CLOUDFLARENET - Cloudflare,13335
2m.ma,104.20.13.136,CLOUDFLARENET - Cloudflare,13335
google.co.th,216.58.207.67,GOOGLE - Google LLC,15169
