Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;28.046;1562514069;mediafire.com;;104.19.194.29;443;55.059;301;TCP/TLS1.2;9.425;
13335;CLOUDFLARENET - Cloudflare;3.754;1562514069;mediafire.com;;104.19.194.29;443;40.934;301;TCP/TLS1.3;9.549;
13335;CLOUDFLARENET - Cloudflare;26.940;1562514069;thepiratebay.org;;104.27.217.28;443;51.551;200;TCP/TLS1.2;9.711;
13335;CLOUDFLARENET - Cloudflare;4.200;1562514070;thepiratebay.org;;104.27.217.28;443;51.212;200;TCP/TLS1.3;9.554;
13335;CLOUDFLARENET - Cloudflare;38.559;1562514070;hesport.com;;104.25.91.17;443;53.390;301;TCP/TLS1.2;9.634;
13335;CLOUDFLARENET - Cloudflare;2.607;1562514071;hesport.com;;104.25.91.17;443;45.164;301;TCP/TLS1.3;9.548;
13335;CLOUDFLARENET - Cloudflare;39.019;1562514071;yts.lt;;104.25.135.117;443;58.472;200;TCP/TLS1.2;9.745;
13335;CLOUDFLARENET - Cloudflare;4.121;1562514072;yts.lt;;104.25.136.117;443;51.928;200;TCP/TLS1.3;9.593;
13335;CLOUDFLARENET - Cloudflare;4691.903;1562514077;medium.com;;104.16.124.127;443;54.195;200;TCP/TLS1.2;9.679;
13335;CLOUDFLARENET - Cloudflare;4.063;1562514078;medium.com;;2606:4700::6810:7c7f;443;256.288;200;TCP/TLS1.3;210.372;
13335;CLOUDFLARENET - Cloudflare;24.796;1562514078;gloyah.net;;172.64.197.10;443;45.735;200;TCP/TLS1.2;9.629;
13335;CLOUDFLARENET - Cloudflare;2.597;1562514079;gloyah.net;;172.64.196.10;443;49.766;200;TCP/TLS1.3;13.643;
13335;CLOUDFLARENET - Cloudflare;25.857;1562514079;sciencedirect.com;;162.159.129.81;443;51.731;301;TCP/TLS1.2;9.679;
13335;CLOUDFLARENET - Cloudflare;3.617;1562514079;sciencedirect.com;;162.159.129.81;443;47.840;301;TCP/TLS1.3;9.571;
13335;CLOUDFLARENET - Cloudflare;13.809;1562514079;discordapp.com;;162.159.133.233;443;49.248;200;TCP/TLS1.2;9.596;
13335;CLOUDFLARENET - Cloudflare;4.128;1562514079;discordapp.com;;162.159.129.233;443;44.455;200;TCP/TLS1.3;9.587;
13335;CLOUDFLARENET - Cloudflare;26.888;1562514080;canva.com;;104.16.79.22;443;60.657;301;TCP/TLS1.2;9.635;
