Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;0.771;1561217395;mediafire.com;;131.159.0.2;443;79.398;301;TCP/TLS1.2;0.606;
13335;CLOUDFLARENET - Cloudflare;0.542;1561217395;mediafire.com;;131.159.0.2;443;76.992;301;TCP/TLS1.3;0.540;
13335;CLOUDFLARENET - Cloudflare;0.506;1561217395;chaturbate.com;;131.159.0.2;443;90.672;200;TCP/TLS1.2;0.565;
13335;CLOUDFLARENET - Cloudflare;0.503;1561217396;chaturbate.com;;131.159.0.2;443;43.771;200;TCP/TLS1.3;0.577;
13335;CLOUDFLARENET - Cloudflare;0.536;1561217396;spankbang.com;;131.159.0.2;443;98.223;302;TCP/TLS1.2;0.552;
13335;CLOUDFLARENET - Cloudflare;0.491;1561217396;spankbang.com;;131.159.0.2;443;46.605;302;TCP/TLS1.3;0.493;
13335;CLOUDFLARENET - Cloudflare;0.535;1561217396;canva.com;;131.159.0.2;443;89.917;301;TCP/TLS1.2;0.560;
13335;CLOUDFLARENET - Cloudflare;0.591;1561217397;canva.com;;131.159.0.2;443;48.550;301;TCP/TLS1.3;0.565;
13335;CLOUDFLARENET - Cloudflare;0.513;1561217397;glassdoor.com;;131.159.0.2;443;64.629;302;TCP/TLS1.2;0.543;
13335;CLOUDFLARENET - Cloudflare;0.483;1561217397;glassdoor.com;;131.159.0.2;443;44.079;302;TCP/TLS1.3;0.558;
13335;CLOUDFLARENET - Cloudflare;0.590;1561217397;discordapp.com;;131.159.0.2;443;61.754;200;TCP/TLS1.2;0.492;
13335;CLOUDFLARENET - Cloudflare;0.558;1561217397;discordapp.com;;131.159.0.2;443;42.574;200;TCP/TLS1.3;0.539;
13335;CLOUDFLARENET - Cloudflare;0.571;1561217397;kissanime.ru;;131.159.0.2;443;63.506;503;TCP/TLS1.2;0.488;
13335;CLOUDFLARENET - Cloudflare;0.570;1561217397;kissanime.ru;;131.159.0.2;443;257.842;503;TCP/TLS1.3;0.428;
13335;CLOUDFLARENET - Cloudflare;0.484;1561217398;best2019games.com;;131.159.0.2;443;59.238;403;TCP/TLS1.2;0.518;
13335;CLOUDFLARENET - Cloudflare;0.519;1561217398;best2019games.com;;131.159.0.2;443;43.194;403;TCP/TLS1.3;0.590;
13335;CLOUDFLARENET - Cloudflare;0.411;1561217398;1337x.to;;131.159.0.2;443;73.496;200;TCP/TLS1.2;0.466;
13335;CLOUDFLARENET - Cloudflare;0.511;1561217398;1337x.to;;131.159.0.2;443;42.719;200;TCP/TLS1.3;0.512;
13335;CLOUDFLARENET - Cloudflare;0.542;1561217399;namnak.com;;131.159.0.2;443;63.431;200;TCP/TLS1.2;0.492;
