Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;0.557;1561304270;spankbang.com;;131.159.0.2;443;70.666;302;TCP/TLS1.2;5.390;
13335;CLOUDFLARENET - Cloudflare;0.876;1561304270;spankbang.com;;131.159.0.2;443;45.125;302;TCP/TLS1.3;0.439;
13335;CLOUDFLARENET - Cloudflare;0.636;1561304270;chaturbate.com;;131.159.0.2;443;66.574;200;TCP/TLS1.2;0.384;
13335;CLOUDFLARENET - Cloudflare;0.811;1561304271;chaturbate.com;;131.159.0.2;443;49.452;200;TCP/TLS1.3;0.407;
13335;CLOUDFLARENET - Cloudflare;0.764;1561304271;canva.com;;131.159.0.2;443;80.675;301;TCP/TLS1.2;0.397;
13335;CLOUDFLARENET - Cloudflare;0.598;1561304271;canva.com;;131.159.0.2;443;49.515;301;TCP/TLS1.3;0.358;
13335;CLOUDFLARENET - Cloudflare;0.487;1561304271;mediafire.com;;131.159.0.2;443;77.985;301;TCP/TLS1.2;0.300;
13335;CLOUDFLARENET - Cloudflare;0.578;1561304271;mediafire.com;;131.159.0.2;443;44.308;301;TCP/TLS1.3;0.412;
13335;CLOUDFLARENET - Cloudflare;0.539;1561304272;albawabhnews.com;;131.159.0.2;443;64.115;503;TCP/TLS1.2;0.312;
13335;CLOUDFLARENET - Cloudflare;0.583;1561304272;albawabhnews.com;;131.159.0.2;443;40.997;503;TCP/TLS1.3;0.400;
13335;CLOUDFLARENET - Cloudflare;0.475;1561304272;udemy.com;;131.159.0.2;443;70.072;301;TCP/TLS1.2;0.282;
13335;CLOUDFLARENET - Cloudflare;0.704;1561304272;udemy.com;;131.159.0.2;443;51.303;301;TCP/TLS1.3;0.364;
13335;CLOUDFLARENET - Cloudflare;0.654;1561304273;medium.com;;131.159.0.2;443;56.757;200;TCP/TLS1.2;0.459;
13335;CLOUDFLARENET - Cloudflare;0.639;1561304274;medium.com;;131.159.0.2;443;44.689;200;TCP/TLS1.3;0.347;
13335;CLOUDFLARENET - Cloudflare;0.645;1561304274;sciencedirect.com;;131.159.0.2;443;90.758;301;TCP/TLS1.2;0.361;
13335;CLOUDFLARENET - Cloudflare;0.700;1561304274;sciencedirect.com;;131.159.0.2;443;87.863;301;TCP/TLS1.3;0.426;
13335;CLOUDFLARENET - Cloudflare;0.652;1561304275;yts.lt;;131.159.0.2;443;128.129;200;TCP/TLS1.2;0.383;
13335;CLOUDFLARENET - Cloudflare;0.933;1561304276;yts.lt;;131.159.0.2;443;47.534;200;TCP/TLS1.3;0.468;
13335;CLOUDFLARENET - Cloudflare;0.664;1561304276;gloyah.net;;131.159.0.2;443;64.412;200;TCP/TLS1.2;0.334;
13335;CLOUDFLARENET - Cloudflare;0.570;1561304277;gloyah.net;;131.159.0.2;443;41.995;200;TCP/TLS1.3;0.317;
15169;GOOGLE - Google LLC;0.604;1561304277;google.cn;;131.159.0.2;443;75.511;302;TCP/TLS1.2;0.302;
15169;GOOGLE - Google LLC;0.636;1561304277;google.cn;;131.159.0.2;443;45.045;302;TCP/TLS1.3;0.316;
15169;GOOGLE - Google LLC;0.599;1561304277;google.it;;131.159.0.2;443;76.975;301;TCP/TLS1.2;0.291;
15169;GOOGLE - Google LLC;0.741;1561304277;google.it;;131.159.0.2;443;46.942;301;TCP/TLS1.3;0.352;
15169;GOOGLE - Google LLC;0.664;1561304277;google.co.uk;;131.159.0.2;443;76.102;301;TCP/TLS1.2;0.353;
15169;GOOGLE - Google LLC;0.653;1561304277;google.co.uk;;131.159.0.2;443;46.742;301;TCP/TLS1.3;0.374;
15169;GOOGLE - Google LLC;0.668;1561304277;google.com.mx;;131.159.0.2;443;83.522;301;TCP/TLS1.2;0.404;
15169;GOOGLE - Google LLC;0.573;1561304278;google.com.mx;;131.159.0.2;443;47.172;301;TCP/TLS1.3;0.385;
15169;GOOGLE - Google LLC;0.610;1561304278;google.ca;;131.159.0.2;443;73.420;301;TCP/TLS1.2;0.322;
15169;GOOGLE - Google LLC;0.581;1561304278;google.ca;;131.159.0.2;443;44.326;301;TCP/TLS1.3;0.339;
15169;GOOGLE - Google LLC;0.571;1561304278;youtube.com;;131.159.0.2;443;96.805;301;TCP/TLS1.2;0.351;
15169;GOOGLE - Google LLC;0.585;1561304278;youtube.com;;131.159.0.2;443;44.986;301;TCP/TLS1.3;0.378;
15169;GOOGLE - Google LLC;0.481;1561304278;google.com.br;;131.159.0.2;443;71.459;301;TCP/TLS1.2;0.372;
15169;GOOGLE - Google LLC;0.665;1561304278;google.com.br;;131.159.0.2;443;45.310;301;TCP/TLS1.3;0.380;
15169;GOOGLE - Google LLC;0.640;1561304278;google.com.tr;;131.159.0.2;443;73.649;301;TCP/TLS1.2;0.358;
15169;GOOGLE - Google LLC;0.750;1561304278;google.com.tr;;131.159.0.2;443;45.236;301;TCP/TLS1.3;0.454;
15169;GOOGLE - Google LLC;0.523;1561304279;google.com.tw;;131.159.0.2;443;79.602;301;TCP/TLS1.2;0.397;
15169;GOOGLE - Google LLC;0.713;1561304279;google.com.tw;;131.159.0.2;443;44.760;301;TCP/TLS1.3;0.431;
15169;GOOGLE - Google LLC;0.459;1561304279;google.de;;131.159.0.2;443;76.973;301;TCP/TLS1.2;0.423;
15169;GOOGLE - Google LLC;0.605;1561304279;google.de;;131.159.0.2;443;46.310;301;TCP/TLS1.3;0.428;
32475;SINGLEHOP-LLC - SingleHop LLC;0.592;1561304279;wordpress.org;;131.159.0.2;443;340.816;200;TCP/TLS1.2;0.396;
32475;SINGLEHOP-LLC - SingleHop LLC;0.725;1561304280;wordpress.org;;131.159.0.2;443;227.852;200;TCP/TLS1.3;0.435;
32475;SINGLEHOP-LLC - SingleHop LLC;0.588;1561304281;sciencealert.com;;131.159.0.2;443;444.646;301;TCP/TLS1.2;0.355;
32475;SINGLEHOP-LLC - SingleHop LLC;0.568;1561304281;sciencealert.com;;131.159.0.2;443;340.594;301;TCP/TLS1.3;0.400;
32475;SINGLEHOP-LLC - SingleHop LLC;0.590;1561304282;w.org;;131.159.0.2;443;338.182;301;TCP/TLS1.2;0.307;
32475;SINGLEHOP-LLC - SingleHop LLC;0.604;1561304282;w.org;;131.159.0.2;443;226.367;301;TCP/TLS1.3;0.375;
32475;SINGLEHOP-LLC - SingleHop LLC;0.569;1561304283;expatwomen.com;;131.159.0.2;443;376.942;200;TCP/TLS1.2;0.402;
32475;SINGLEHOP-LLC - SingleHop LLC;0.584;1561304284;expatwomen.com;;131.159.0.2;443;344.134;200;TCP/TLS1.3;0.307;
32475;SINGLEHOP-LLC - SingleHop LLC;0.596;1561304285;abante.com.ph;;131.159.0.2;443;354.795;301;TCP/TLS1.2;0.414;
32475;SINGLEHOP-LLC - SingleHop LLC;0.807;1561304285;abante.com.ph;;131.159.0.2;443;344.274;301;TCP/TLS1.3;0.387;
32475;SINGLEHOP-LLC - SingleHop LLC;0.585;1561304287;ewguides.com;;131.159.0.2;443;506.786;200;TCP/TLS1.2;0.427;
32475;SINGLEHOP-LLC - SingleHop LLC;0.586;1561304288;ewguides.com;;131.159.0.2;443;344.897;200;TCP/TLS1.3;0.443;
32475;SINGLEHOP-LLC - SingleHop LLC;0.640;1561304290;losrios.edu;;131.159.0.2;443;526.989;200;TCP/TLS1.2;0.393;
32475;SINGLEHOP-LLC - SingleHop LLC;1.201;1561304291;losrios.edu;;131.159.0.2;443;332.459;200;TCP/TLS1.3;0.418;
32475;SINGLEHOP-LLC - SingleHop LLC;0.692;1561304291;greengeeks.com;;131.159.0.2;443;441.843;301;TCP/TLS1.2;0.392;
32475;SINGLEHOP-LLC - SingleHop LLC;0.626;1561304292;greengeeks.com;;131.159.0.2;443;229.310;301;TCP/TLS1.3;0.352;
32475;SINGLEHOP-LLC - SingleHop LLC;0.844;1561304292;laatech.net;;131.159.0.2;443;114.653;200;TCP/TLS1.2;0.610;
32475;SINGLEHOP-LLC - SingleHop LLC;0.718;1561304292;laatech.net;;131.159.0.2;443;82.940;200;TCP/TLS1.3;0.365;
32475;SINGLEHOP-LLC - SingleHop LLC;0.547;1561304295;wenzhao.ca;;131.159.0.2;443;767.064;301;TCP/TLS1.2;0.393;
32475;SINGLEHOP-LLC - SingleHop LLC;0.622;1561304297;wenzhao.ca;;131.159.0.2;443;345.707;301;TCP/TLS1.3;0.449;
