Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;1.200;1560958355;discordapp.com;;131.159.0.2;443;69.156;200;TCP/TLS1.2;0.546;
13335;CLOUDFLARENET - Cloudflare;0.287;1560958356;discordapp.com;;131.159.0.2;443;42.357;200;TCP/TLS1.3;0.416;
13335;CLOUDFLARENET - Cloudflare;0.448;1560958356;gloyah.net;;131.159.0.2;443;86.182;200;TCP/TLS1.2;0.334;
13335;CLOUDFLARENET - Cloudflare;0.286;1560958356;gloyah.net;;131.159.0.2;443;30.860;200;TCP/TLS1.3;0.378;
13335;CLOUDFLARENET - Cloudflare;0.375;1560958357;sciencedirect.com;;131.159.0.2;443;83.296;301;TCP/TLS1.2;0.458;
13335;CLOUDFLARENET - Cloudflare;0.471;1560958357;sciencedirect.com;;131.159.0.2;443;82.208;301;TCP/TLS1.3;0.369;
13335;CLOUDFLARENET - Cloudflare;0.447;1560958357;medium.com;;131.159.0.2;443;86.628;200;TCP/TLS1.2;0.288;
13335;CLOUDFLARENET - Cloudflare;0.354;1560958358;medium.com;;131.159.0.2;443;35.650;200;TCP/TLS1.3;0.317;
13335;CLOUDFLARENET - Cloudflare;0.529;1560958358;chaturbate.com;;131.159.0.2;443;61.497;200;TCP/TLS1.2;0.329;
13335;CLOUDFLARENET - Cloudflare;0.514;1560958358;chaturbate.com;;131.159.0.2;443;40.453;200;TCP/TLS1.3;0.606;
13335;CLOUDFLARENET - Cloudflare;0.703;1560958359;mediafire.com;;131.159.0.2;443;77.399;301;TCP/TLS1.2;0.401;
13335;CLOUDFLARENET - Cloudflare;0.585;1560958359;mediafire.com;;131.159.0.2;443;45.281;301;TCP/TLS1.3;0.406;
13335;CLOUDFLARENET - Cloudflare;0.450;1560958359;spankbang.com;;131.159.0.2;443;90.021;302;TCP/TLS1.2;0.314;
13335;CLOUDFLARENET - Cloudflare;0.659;1560958359;spankbang.com;;131.159.0.2;443;42.689;302;TCP/TLS1.3;0.344;
13335;CLOUDFLARENET - Cloudflare;0.656;1560958359;canva.com;;131.159.0.2;443;69.602;301;TCP/TLS1.2;0.397;
13335;CLOUDFLARENET - Cloudflare;0.644;1560958359;canva.com;;131.159.0.2;443;47.162;301;TCP/TLS1.3;0.377;
13335;CLOUDFLARENET - Cloudflare;0.482;1560958359;udemy.com;;131.159.0.2;443;65.421;301;TCP/TLS1.2;0.324;
13335;CLOUDFLARENET - Cloudflare;0.632;1560958359;udemy.com;;131.159.0.2;443;39.728;301;TCP/TLS1.3;0.469;
13335;CLOUDFLARENET - Cloudflare;0.436;1560958360;namnak.com;;131.159.0.2;443;74.747;200;TCP/TLS1.2;0.334;
13335;CLOUDFLARENET - Cloudflare;0.546;1560958360;namnak.com;;131.159.0.2;443;40.596;200;TCP/TLS1.3;0.358;
15169;GOOGLE - Google LLC;0.539;1560958360;google.cn;;131.159.0.2;443;80.472;302;TCP/TLS1.2;0.322;
15169;GOOGLE - Google LLC;0.640;1560958360;google.cn;;131.159.0.2;443;43.348;302;TCP/TLS1.3;0.330;
15169;GOOGLE - Google LLC;0.674;1560958360;google.de;;131.159.0.2;443;54.295;301;TCP/TLS1.2;0.338;
15169;GOOGLE - Google LLC;0.654;1560958360;google.de;;131.159.0.2;443;45.113;301;TCP/TLS1.3;0.410;
15169;GOOGLE - Google LLC;0.652;1560958360;google.co.jp;;131.159.0.2;443;75.404;301;TCP/TLS1.2;0.376;
15169;GOOGLE - Google LLC;0.652;1560958360;google.co.jp;;131.159.0.2;443;43.709;301;TCP/TLS1.3;0.374;
15169;GOOGLE - Google LLC;0.631;1560958360;google.com;;131.159.0.2;443;55.403;301;TCP/TLS1.2;0.359;
15169;GOOGLE - Google LLC;0.597;1560958361;google.com;;131.159.0.2;443;44.316;301;TCP/TLS1.3;0.337;
15169;GOOGLE - Google LLC;0.568;1560958361;google.ru;;131.159.0.2;443;70.842;301;TCP/TLS1.2;0.300;
15169;GOOGLE - Google LLC;0.560;1560958361;google.ru;;131.159.0.2;443;44.948;301;TCP/TLS1.3;0.348;
15169;GOOGLE - Google LLC;0.556;1560958361;google.com.mx;;131.159.0.2;443;73.682;301;TCP/TLS1.2;0.438;
15169;GOOGLE - Google LLC;0.648;1560958361;google.com.mx;;131.159.0.2;443;44.306;301;TCP/TLS1.3;0.412;
15169;GOOGLE - Google LLC;0.618;1560958361;youtube.com;;131.159.0.2;443;72.668;301;TCP/TLS1.2;0.402;
15169;GOOGLE - Google LLC;0.590;1560958361;youtube.com;;131.159.0.2;443;43.944;301;TCP/TLS1.3;0.352;
15169;GOOGLE - Google LLC;0.453;1560958361;google.co.id;;131.159.0.2;443;75.461;301;TCP/TLS1.2;0.374;
15169;GOOGLE - Google LLC;0.596;1560958362;google.co.id;;131.159.0.2;443;46.174;301;TCP/TLS1.3;0.381;
15169;GOOGLE - Google LLC;0.605;1560958362;google.co.in;;131.159.0.2;443;76.963;301;TCP/TLS1.2;0.384;
15169;GOOGLE - Google LLC;0.587;1560958362;google.co.in;;131.159.0.2;443;46.437;301;TCP/TLS1.3;0.357;
15169;GOOGLE - Google LLC;0.591;1560958362;google.it;;131.159.0.2;443;75.106;301;TCP/TLS1.2;0.483;
15169;GOOGLE - Google LLC;0.578;1560958362;google.it;;131.159.0.2;443;43.887;301;TCP/TLS1.3;0.384;
32475;SINGLEHOP-LLC - SingleHop LLC;0.558;1560958363;wordpress.org;;131.159.0.2;443;329.794;200;TCP/TLS1.2;0.353;
32475;SINGLEHOP-LLC - SingleHop LLC;0.549;1560958363;wordpress.org;;131.159.0.2;443;228.139;200;TCP/TLS1.3;0.307;
32475;SINGLEHOP-LLC - SingleHop LLC;0.510;1560958364;w.org;;131.159.0.2;443;338.768;301;TCP/TLS1.2;0.311;
32475;SINGLEHOP-LLC - SingleHop LLC;0.544;1560958364;w.org;;131.159.0.2;443;225.632;301;TCP/TLS1.3;0.460;
32475;SINGLEHOP-LLC - SingleHop LLC;0.529;1560958365;ucv.edu.pe;;131.159.0.2;443;526.477;200;TCP/TLS1.2;0.396;
32475;SINGLEHOP-LLC - SingleHop LLC;0.547;1560958366;ucv.edu.pe;;131.159.0.2;443;225.327;200;TCP/TLS1.3;0.351;
32475;SINGLEHOP-LLC - SingleHop LLC;0.542;1560958366;namethatporn.com;;131.159.0.2;443;364.569;200;TCP/TLS1.2;0.392;
32475;SINGLEHOP-LLC - SingleHop LLC;0.351;1560958367;namethatporn.com;;131.159.0.2;443;224.608;200;TCP/TLS1.3;0.334;
32475;SINGLEHOP-LLC - SingleHop LLC;0.307;1560958368;thepostmillennial.com;;131.159.0.2;443;439.270;301;TCP/TLS1.2;0.356;
32475;SINGLEHOP-LLC - SingleHop LLC;0.274;1560958369;thepostmillennial.com;;131.159.0.2;443;344.528;301;TCP/TLS1.3;0.341;
32475;SINGLEHOP-LLC - SingleHop LLC;0.275;1560958370;insightsactivelearn.com;;131.159.0.2;443;437.201;200;TCP/TLS1.2;0.304;
32475;SINGLEHOP-LLC - SingleHop LLC;0.288;1560958371;insightsactivelearn.com;;131.159.0.2;443;338.055;200;TCP/TLS1.3;0.338;
32475;SINGLEHOP-LLC - SingleHop LLC;0.290;1560958372;expatwomen.com;;131.159.0.2;443;345.351;200;TCP/TLS1.2;0.393;
32475;SINGLEHOP-LLC - SingleHop LLC;0.805;1560958372;expatwomen.com;;131.159.0.2;443;333.200;200;TCP/TLS1.3;0.509;
32475;SINGLEHOP-LLC - SingleHop LLC;0.529;1560958373;fontfabric.com;;131.159.0.2;443;102.737;301;TCP/TLS1.2;0.372;
32475;SINGLEHOP-LLC - SingleHop LLC;0.508;1560958373;fontfabric.com;;131.159.0.2;443;74.293;301;TCP/TLS1.3;0.392;
32475;SINGLEHOP-LLC - SingleHop LLC;0.569;1560958374;losrios.edu;;131.159.0.2;443;505.027;200;TCP/TLS1.2;0.378;
32475;SINGLEHOP-LLC - SingleHop LLC;0.327;1560958375;losrios.edu;;131.159.0.2;443;333.601;200;TCP/TLS1.3;0.253;
32475;SINGLEHOP-LLC - SingleHop LLC;0.296;1560958377;politics.com.ph;;131.159.0.2;443;691.536;200;TCP/TLS1.2;2.358;
32475;SINGLEHOP-LLC - SingleHop LLC;0.300;1560958378;politics.com.ph;;131.159.0.2;443;331.155;200;TCP/TLS1.3;0.333;
19551;INCAPSULA - Incapsula Inc;0.300;1560958378;thedailystar.net;;131.159.0.2;443;373.976;301;TCP/TLS1.2;0.348;
19551;INCAPSULA - Incapsula Inc;0.334;1560958379;thedailystar.net;;131.159.0.2;443;568.156;301;TCP/TLS1.3;5.025;
19551;INCAPSULA - Incapsula Inc;0.572;1560958379;dezeen.com;;131.159.0.2;443;243.166;301;TCP/TLS1.2;0.368;
19551;INCAPSULA - Incapsula Inc;0.606;1560958380;dezeen.com;;131.159.0.2;443;105.379;301;TCP/TLS1.3;0.381;
19551;INCAPSULA - Incapsula Inc;0.502;1560958380;canadavisa.com;;131.159.0.2;443;396.243;301;TCP/TLS1.2;0.380;
19551;INCAPSULA - Incapsula Inc;0.653;1560958381;canadavisa.com;;131.159.0.2;443;358.941;301;TCP/TLS1.3;0.348;
19551;INCAPSULA - Incapsula Inc;0.523;1560958381;screencast.com;;131.159.0.2;443;387.606;301;TCP/TLS1.2;0.449;
19551;INCAPSULA - Incapsula Inc;0.559;1560958382;screencast.com;;131.159.0.2;443;361.043;301;TCP/TLS1.3;0.386;
