Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;0.631;1560871764;mediafire.com;;131.159.0.2;443;152.951;301;TCP/TLS1.2;0.453;
13335;CLOUDFLARENET - Cloudflare;0.812;1560871764;mediafire.com;;131.159.0.2;443;45.967;301;TCP/TLS1.3;0.372;
13335;CLOUDFLARENET - Cloudflare;0.525;1560871764;sarkariresult.com;;131.159.0.2;443;77.148;301;TCP/TLS1.2;0.296;
13335;CLOUDFLARENET - Cloudflare;0.641;1560871765;sarkariresult.com;;131.159.0.2;443;53.202;301;TCP/TLS1.3;0.318;
13335;CLOUDFLARENET - Cloudflare;0.642;1560871765;elkhadra.com;;131.159.0.2;443;78.589;301;TCP/TLS1.2;0.407;
13335;CLOUDFLARENET - Cloudflare;0.678;1560871765;elkhadra.com;;131.159.0.2;443;53.093;301;TCP/TLS1.3;0.324;
13335;CLOUDFLARENET - Cloudflare;0.641;1560871766;hdfcbank.com;;131.159.0.2;443;71.554;503;TCP/TLS1.2;0.342;
13335;CLOUDFLARENET - Cloudflare;0.679;1560871766;hdfcbank.com;;131.159.0.2;443;49.921;503;TCP/TLS1.3;0.329;
13335;CLOUDFLARENET - Cloudflare;0.628;1560871766;pixabay.com;;131.159.0.2;443;81.081;200;TCP/TLS1.2;0.305;
13335;CLOUDFLARENET - Cloudflare;0.613;1560871766;pixabay.com;;131.159.0.2;443;39.854;200;TCP/TLS1.3;0.386;
13335;CLOUDFLARENET - Cloudflare;0.574;1560871767;namnak.com;;131.159.0.2;443;75.078;200;TCP/TLS1.2;0.413;
13335;CLOUDFLARENET - Cloudflare;1.065;1560871767;namnak.com;;131.159.0.2;443;39.993;200;TCP/TLS1.3;0.368;
13335;CLOUDFLARENET - Cloudflare;0.741;1560871767;nexusmods.com;;131.159.0.2;443;89.284;301;TCP/TLS1.2;0.329;
13335;CLOUDFLARENET - Cloudflare;0.725;1560871767;nexusmods.com;;131.159.0.2;443;46.839;301;TCP/TLS1.3;0.354;
13335;CLOUDFLARENET - Cloudflare;0.740;1560871767;albawabhnews.com;;131.159.0.2;443;77.274;503;TCP/TLS1.2;0.315;
13335;CLOUDFLARENET - Cloudflare;0.635;1560871767;albawabhnews.com;;131.159.0.2;443;43.419;503;TCP/TLS1.3;0.366;
13335;CLOUDFLARENET - Cloudflare;0.562;1560871768;chaturbate.com;;131.159.0.2;443;64.513;200;TCP/TLS1.2;0.393;
13335;CLOUDFLARENET - Cloudflare;0.637;1560871768;chaturbate.com;;131.159.0.2;443;42.816;200;TCP/TLS1.3;0.380;
13335;CLOUDFLARENET - Cloudflare;0.654;1560871768;getawesome1.com;;131.159.0.2;443;62.788;301;TCP/TLS1.2;0.399;
13335;CLOUDFLARENET - Cloudflare;0.674;1560871769;getawesome1.com;;131.159.0.2;443;45.072;301;TCP/TLS1.3;0.351;
15169;GOOGLE - Google LLC;0.666;1560871769;google.com.tw;;131.159.0.2;443;216.089;301;TCP/TLS1.2;0.338;
15169;GOOGLE - Google LLC;0.603;1560871769;google.com.tw;;131.159.0.2;443;45.537;301;TCP/TLS1.3;0.341;
15169;GOOGLE - Google LLC;0.769;1560871769;google.fr;;131.159.0.2;443;73.585;301;TCP/TLS1.2;0.405;
15169;GOOGLE - Google LLC;0.722;1560871769;google.fr;;131.159.0.2;443;46.314;301;TCP/TLS1.3;0.395;
15169;GOOGLE - Google LLC;0.717;1560871769;google.it;;131.159.0.2;443;76.393;301;TCP/TLS1.2;0.377;
15169;GOOGLE - Google LLC;0.692;1560871769;google.it;;131.159.0.2;443;46.180;301;TCP/TLS1.3;0.421;
15169;GOOGLE - Google LLC;0.893;1560871770;google.com.hk;;131.159.0.2;443;77.280;301;TCP/TLS1.2;0.432;
15169;GOOGLE - Google LLC;0.698;1560871770;google.com.hk;;131.159.0.2;443;45.386;301;TCP/TLS1.3;0.389;
15169;GOOGLE - Google LLC;0.708;1560871770;google.com;;131.159.0.2;443;54.436;301;TCP/TLS1.2;0.437;
15169;GOOGLE - Google LLC;0.698;1560871770;google.com;;131.159.0.2;443;43.651;301;TCP/TLS1.3;0.382;
15169;GOOGLE - Google LLC;0.720;1560871770;google.com.tr;;131.159.0.2;443;72.522;301;TCP/TLS1.2;0.381;
15169;GOOGLE - Google LLC;0.689;1560871770;google.com.tr;;131.159.0.2;443;44.501;301;TCP/TLS1.3;0.388;
15169;GOOGLE - Google LLC;0.735;1560871771;google.co.jp;;131.159.0.2;443;326.931;301;TCP/TLS1.2;0.487;
15169;GOOGLE - Google LLC;0.652;1560871771;google.co.jp;;131.159.0.2;443;45.129;301;TCP/TLS1.3;0.460;
15169;GOOGLE - Google LLC;0.640;1560871771;blogspot.com;;131.159.0.2;443;71.656;301;TCP/TLS1.2;0.403;
15169;GOOGLE - Google LLC;0.587;1560871771;blogspot.com;;131.159.0.2;443;43.807;301;TCP/TLS1.3;0.451;
15169;GOOGLE - Google LLC;0.623;1560871771;google.pl;;131.159.0.2;443;174.541;301;TCP/TLS1.2;0.383;
15169;GOOGLE - Google LLC;0.628;1560871771;google.pl;;131.159.0.2;443;45.951;301;TCP/TLS1.3;0.335;
15169;GOOGLE - Google LLC;0.688;1560871771;google.com.ua;;131.159.0.2;443;162.522;301;TCP/TLS1.2;0.358;
15169;GOOGLE - Google LLC;0.666;1560871772;google.com.ua;;131.159.0.2;443;45.909;301;TCP/TLS1.3;0.401;
32475;SINGLEHOP-LLC - SingleHop LLC;0.570;1560871772;wordpress.org;;131.159.0.2;443;328.668;200;TCP/TLS1.2;0.376;
32475;SINGLEHOP-LLC - SingleHop LLC;0.664;1560871773;wordpress.org;;131.159.0.2;443;228.329;200;TCP/TLS1.3;0.410;
32475;SINGLEHOP-LLC - SingleHop LLC;0.654;1560871774;careersidekick.com;;131.159.0.2;443;443.798;200;TCP/TLS1.2;0.391;
32475;SINGLEHOP-LLC - SingleHop LLC;0.714;1560871774;careersidekick.com;;131.159.0.2;443;345.488;200;TCP/TLS1.3;0.420;
32475;SINGLEHOP-LLC - SingleHop LLC;0.685;1560871775;kanyidaily.com;;131.159.0.2;443;449.216;301;TCP/TLS1.2;0.478;
32475;SINGLEHOP-LLC - SingleHop LLC;0.601;1560871777;kanyidaily.com;;131.159.0.2;443;1341.198;301;TCP/TLS1.3;998.228;
32475;SINGLEHOP-LLC - SingleHop LLC;0.646;1560871778;expatwomen.com;;131.159.0.2;443;354.243;200;TCP/TLS1.2;0.417;
