Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;0.643;1561044408;predicalflo.info;;131.159.0.2;443;68.147;302;TCP/TLS1.2;0.625;
13335;CLOUDFLARENET - Cloudflare;0.640;1561044408;predicalflo.info;;131.159.0.2;443;39.469;302;TCP/TLS1.3;0.457;
13335;CLOUDFLARENET - Cloudflare;0.647;1561044409;sarkariresult.com;;131.159.0.2;443;66.572;301;TCP/TLS1.2;0.264;
13335;CLOUDFLARENET - Cloudflare;0.600;1561044410;sarkariresult.com;;131.159.0.2;443;1052.484;301;TCP/TLS1.3;999.046;
13335;CLOUDFLARENET - Cloudflare;0.623;1561044410;chouftv.ma;;131.159.0.2;443;75.879;200;TCP/TLS1.2;0.377;
13335;CLOUDFLARENET - Cloudflare;0.600;1561044410;chouftv.ma;;131.159.0.2;443;53.180;200;TCP/TLS1.3;0.353;
13335;CLOUDFLARENET - Cloudflare;0.530;1561044410;hdfcbank.com;;131.159.0.2;443;68.985;503;TCP/TLS1.2;0.370;
13335;CLOUDFLARENET - Cloudflare;0.591;1561044410;hdfcbank.com;;131.159.0.2;443;69.358;503;TCP/TLS1.3;0.280;
13335;CLOUDFLARENET - Cloudflare;0.603;1561044410;canva.com;;131.159.0.2;443;64.636;301;TCP/TLS1.2;0.311;
13335;CLOUDFLARENET - Cloudflare;0.556;1561044411;canva.com;;131.159.0.2;443;245.915;301;TCP/TLS1.3;0.347;
13335;CLOUDFLARENET - Cloudflare;0.582;1561044411;udemy.com;;131.159.0.2;443;66.082;301;TCP/TLS1.2;0.334;
13335;CLOUDFLARENET - Cloudflare;0.621;1561044411;udemy.com;;131.159.0.2;443;64.495;301;TCP/TLS1.3;0.349;
13335;CLOUDFLARENET - Cloudflare;0.617;1561044412;yts.lt;;131.159.0.2;443;69.922;200;TCP/TLS1.2;0.398;
13335;CLOUDFLARENET - Cloudflare;0.692;1561044412;yts.lt;;131.159.0.2;443;52.795;200;TCP/TLS1.3;0.365;
13335;CLOUDFLARENET - Cloudflare;0.601;1561044413;elbalad.news;;131.159.0.2;443;62.439;200;TCP/TLS1.2;0.374;
13335;CLOUDFLARENET - Cloudflare;0.597;1561044413;elbalad.news;;131.159.0.2;443;46.948;200;TCP/TLS1.3;0.372;
13335;CLOUDFLARENET - Cloudflare;0.595;1561044413;ilovepdf.com;;131.159.0.2;443;98.591;301;TCP/TLS1.2;0.329;
13335;CLOUDFLARENET - Cloudflare;0.629;1561044413;ilovepdf.com;;131.159.0.2;443;45.266;301;TCP/TLS1.3;0.393;
