Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
15169;GOOGLE - Google LLC;116.040;1562252411;google.com.hk;;172.217.22.3;443;112.240;301;TCP/TLS1.2;9.106;
15169;GOOGLE - Google LLC;9.438;1562252411;google.com.hk;;172.217.22.3;443;175.909;301;TCP/TLS1.3;19.919;
15169;GOOGLE - Google LLC;46.007;1562252412;google.co.in;;216.58.210.3;443;98.291;301;TCP/TLS1.2;8.996;
15169;GOOGLE - Google LLC;15.555;1562252412;google.co.in;;216.58.210.3;443;79.681;301;TCP/TLS1.3;21.949;
15169;GOOGLE - Google LLC;64.161;1562252412;google.com.br;;172.217.18.3;443;113.610;301;TCP/TLS1.2;9.386;
15169;GOOGLE - Google LLC;29.300;1562252412;google.com.br;;172.217.18.3;443;121.975;301;TCP/TLS1.3;9.736;
15169;GOOGLE - Google LLC;84.174;1562252413;blogspot.com;;172.217.22.73;443;48.573;301;TCP/TLS1.2;9.292;
15169;GOOGLE - Google LLC;40.382;1562252413;blogspot.com;;172.217.22.73;443;174.119;301;TCP/TLS1.3;9.267;
15169;GOOGLE - Google LLC;6.801;1562252413;google.com;;172.217.22.46;443;71.275;301;TCP/TLS1.2;11.200;
15169;GOOGLE - Google LLC;220.299;1562252414;google.com;;172.217.22.46;443;49.621;301;TCP/TLS1.3;13.114;
15169;GOOGLE - Google LLC;720.508;1562252415;google.de;;172.217.22.99;443;553.875;301;TCP/TLS1.2;13.485;
15169;GOOGLE - Google LLC;167.606;1562252415;google.de;;172.217.22.99;443;92.102;301;TCP/TLS1.3;16.493;
15169;GOOGLE - Google LLC;150.542;1562252416;youtube.com;;172.217.16.206;443;249.394;301;TCP/TLS1.2;9.478;
15169;GOOGLE - Google LLC;6.213;1562252416;youtube.com;;172.217.16.206;443;40.404;301;TCP/TLS1.3;9.783;
15169;GOOGLE - Google LLC;26.486;1562252416;google.co.jp;;172.217.23.131;443;128.347;301;TCP/TLS1.2;8.986;
15169;GOOGLE - Google LLC;58.778;1562252416;google.co.jp;;172.217.23.131;443;87.316;301;TCP/TLS1.3;9.050;
15169;GOOGLE - Google LLC;387.950;1562252417;google.fr;;172.217.16.131;443;52.759;301;TCP/TLS1.2;9.260;
15169;GOOGLE - Google LLC;486.961;1562252418;google.fr;;172.217.16.131;443;65.643;301;TCP/TLS1.3;9.339;
15169;GOOGLE - Google LLC;1609.239;1562252420;google.ru;;216.58.207.35;443;102.074;301;TCP/TLS1.2;8.909;
15169;GOOGLE - Google LLC;5499.382;1562252426;google.ru;;216.58.207.35;443;1045.316;301;TCP/TLS1.3;62.349;
13335;CLOUDFLARENET - Cloudflare;52.142;1562252427;discordapp.com;;162.159.135.233;443;62.117;200;TCP/TLS1.2;9.398;
13335;CLOUDFLARENET - Cloudflare;4.790;1562252427;discordapp.com;;162.159.129.233;443;36.587;200;TCP/TLS1.3;9.326;
13335;CLOUDFLARENET - Cloudflare;61.226;1562252427;mediafire.com;;104.19.194.29;443;113.922;301;TCP/TLS1.2;9.392;
13335;CLOUDFLARENET - Cloudflare;46.750;1562252427;mediafire.com;;104.19.195.29;443;69.750;301;TCP/TLS1.3;10.594;
13335;CLOUDFLARENET - Cloudflare;144.817;1562252428;medium.com;;104.16.124.127;443;231.179;200;TCP/TLS1.2;9.471;
13335;CLOUDFLARENET - Cloudflare;37.441;1562252428;medium.com;;104.16.121.127;443;131.072;200;TCP/TLS1.3;9.268;
2635;AUTOMATTIC - Automattic;188.653;1562252429;wordpress.com;;192.0.78.17;443;102.547;200;TCP/TLS1.2;9.572;
2635;AUTOMATTIC - Automattic;47.668;1562252430;wordpress.com;;192.0.78.9;443;73.227;200;TCP/TLS1.3;13.774;
14618;AMAZON-AES - Amazon.com;34.216;1562252430;instagram.com;;34.192.208.233;443;354.377;301;TCP/TLS1.2;101.463;
14618;AMAZON-AES - Amazon.com;95.346;1562252431;instagram.com;;3.213.111.250;443;238.353;301;TCP/TLS1.3;107.114;
36459;GITHUB - GitHub;130.519;1562252432;github.com;;140.82.118.4;443;320.376;200;TCP/TLS1.2;24.730;
36459;GITHUB - GitHub;25.333;1562252433;github.com;;140.82.118.4;443;86.526;200;TCP/TLS1.3;22.164;
32934;FACEBOOK - Facebook;57.195;1562252433;facebook.com;;31.13.92.36;443;43.088;301;TCP/TLS1.2;9.887;
32934;FACEBOOK - Facebook;148.950;1562252433;facebook.com;;31.13.92.36;443;161.932;301;TCP/TLS1.3;9.616;
43996;BOOKING-BV - Booking.com BV;349.786;1562252434;booking.com;;5.57.16.220;443;268.371;301;TCP/TLS1.2;26.195;
43996;BOOKING-BV - Booking.com BV;1.231;1562252435;booking.com;;5.57.16.220;443;95.798;301;TCP/TLS1.3;23.285;
44932;SABAIDEA - Fannavaran-e Idea Pardaz-e Saba PJSC;13.290;1562252435;aparat.com;;185.147.178.13;443;160.470;301;TCP/TLS1.2;16.216;
44932;SABAIDEA - Fannavaran-e Idea Pardaz-e Saba PJSC;27.413;1562252435;aparat.com;;185.147.178.12;443;114.778;301;TCP/TLS1.3;16.304;
