Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;1.032;1561476531;discordapp.com;;131.159.0.2;443;67.130;200;TCP/TLS1.2;0.808;
13335;CLOUDFLARENET - Cloudflare;0.569;1561476531;discordapp.com;;131.159.0.2;443;44.180;200;TCP/TLS1.3;0.521;
13335;CLOUDFLARENET - Cloudflare;0.515;1561476531;heroesofrpg.com;;131.159.0.2;443;77.358;200;TCP/TLS1.2;0.458;
13335;CLOUDFLARENET - Cloudflare;0.754;1561476532;heroesofrpg.com;;131.159.0.2;443;46.691;200;TCP/TLS1.3;0.637;
13335;CLOUDFLARENET - Cloudflare;0.464;1561476532;spankbang.com;;131.159.0.2;443;83.512;302;TCP/TLS1.2;0.477;
13335;CLOUDFLARENET - Cloudflare;0.812;1561476532;spankbang.com;;131.159.0.2;443;51.795;302;TCP/TLS1.3;0.438;
13335;CLOUDFLARENET - Cloudflare;0.581;1561476532;mediafire.com;;131.159.0.2;443;83.852;301;TCP/TLS1.2;0.462;
13335;CLOUDFLARENET - Cloudflare;0.520;1561476532;mediafire.com;;131.159.0.2;443;48.950;301;TCP/TLS1.3;0.470;
13335;CLOUDFLARENET - Cloudflare;0.604;1561476533;gloyah.net;;131.159.0.2;443;283.174;200;TCP/TLS1.2;0.539;
13335;CLOUDFLARENET - Cloudflare;0.574;1561476534;gloyah.net;;131.159.0.2;443;40.266;200;TCP/TLS1.3;0.517;
13335;CLOUDFLARENET - Cloudflare;0.544;1561476535;thepiratebay.org;;131.159.0.2;443;74.222;200;TCP/TLS1.2;0.525;
13335;CLOUDFLARENET - Cloudflare;0.615;1561476537;thepiratebay.org;;131.159.0.2;443;254.270;200;TCP/TLS1.3;6.666;
13335;CLOUDFLARENET - Cloudflare;0.587;1561476538;yts.lt;;131.159.0.2;443;62.882;200;TCP/TLS1.2;0.480;
13335;CLOUDFLARENET - Cloudflare;0.555;1561476539;yts.lt;;131.159.0.2;443;43.913;200;TCP/TLS1.3;0.552;
13335;CLOUDFLARENET - Cloudflare;0.598;1561476539;medium.com;;131.159.0.2;443;67.207;200;TCP/TLS1.2;0.547;
13335;CLOUDFLARENET - Cloudflare;0.516;1561476541;medium.com;;131.159.0.2;443;248.331;200;TCP/TLS1.3;0.498;
13335;CLOUDFLARENET - Cloudflare;0.687;1561476541;udemy.com;;131.159.0.2;443;83.718;301;TCP/TLS1.2;0.440;
13335;CLOUDFLARENET - Cloudflare;0.545;1561476541;udemy.com;;131.159.0.2;443;52.530;301;TCP/TLS1.3;0.487;
13335;CLOUDFLARENET - Cloudflare;0.649;1561476541;sciencedirect.com;;131.159.0.2;443;112.454;301;TCP/TLS1.2;8.331;
13335;CLOUDFLARENET - Cloudflare;0.657;1561476541;sciencedirect.com;;131.159.0.2;443;91.478;301;TCP/TLS1.3;0.574;
15169;GOOGLE - Google LLC;0.612;1561476541;google.de;;131.159.0.2;443;53.276;301;TCP/TLS1.2;0.488;
15169;GOOGLE - Google LLC;0.581;1561476541;google.de;;131.159.0.2;443;45.572;301;TCP/TLS1.3;0.520;
15169;GOOGLE - Google LLC;0.503;1561476542;google.es;;131.159.0.2;443;280.212;301;TCP/TLS1.2;6.853;
15169;GOOGLE - Google LLC;0.676;1561476542;google.es;;131.159.0.2;443;43.643;301;TCP/TLS1.3;0.416;
15169;GOOGLE - Google LLC;0.580;1561476542;google.co.jp;;131.159.0.2;443;85.376;301;TCP/TLS1.2;0.543;
15169;GOOGLE - Google LLC;0.504;1561476542;google.co.jp;;131.159.0.2;443;42.456;301;TCP/TLS1.3;0.458;
15169;GOOGLE - Google LLC;0.565;1561476542;blogspot.com;;131.159.0.2;443;75.087;301;TCP/TLS1.2;0.470;
15169;GOOGLE - Google LLC;0.458;1561476542;blogspot.com;;131.159.0.2;443;41.492;301;TCP/TLS1.3;0.390;
15169;GOOGLE - Google LLC;0.409;1561476542;google.com.mx;;131.159.0.2;443;73.582;301;TCP/TLS1.2;0.368;
15169;GOOGLE - Google LLC;0.584;1561476542;google.com.mx;;131.159.0.2;443;44.399;301;TCP/TLS1.3;0.525;
15169;GOOGLE - Google LLC;0.667;1561476543;google.com.br;;131.159.0.2;443;76.617;301;TCP/TLS1.2;0.552;
15169;GOOGLE - Google LLC;0.513;1561476543;google.com.br;;131.159.0.2;443;46.813;301;TCP/TLS1.3;0.471;
15169;GOOGLE - Google LLC;0.510;1561476543;google.it;;131.159.0.2;443;75.358;301;TCP/TLS1.2;0.420;
15169;GOOGLE - Google LLC;0.536;1561476543;google.it;;131.159.0.2;443;44.540;301;TCP/TLS1.3;0.585;
15169;GOOGLE - Google LLC;0.421;1561476543;google.co.uk;;131.159.0.2;443;326.210;301;TCP/TLS1.2;0.446;
15169;GOOGLE - Google LLC;0.630;1561476543;google.co.uk;;131.159.0.2;443;46.138;301;TCP/TLS1.3;0.491;
15169;GOOGLE - Google LLC;0.543;1561476543;google.co.in;;131.159.0.2;443;72.475;301;TCP/TLS1.2;0.528;
15169;GOOGLE - Google LLC;0.525;1561476544;google.co.in;;131.159.0.2;443;45.614;301;TCP/TLS1.3;0.577;
15169;GOOGLE - Google LLC;0.516;1561476544;google.com.tw;;131.159.0.2;443;73.801;301;TCP/TLS1.2;0.585;
15169;GOOGLE - Google LLC;0.526;1561476544;google.com.tw;;131.159.0.2;443;42.983;301;TCP/TLS1.3;0.526;
2635;AUTOMATTIC - Automattic;0.538;1561476544;wordpress.com;;131.159.0.2;443;64.854;200;TCP/TLS1.2;0.566;
2635;AUTOMATTIC - Automattic;0.585;1561476545;wordpress.com;;131.159.0.2;443;37.016;200;TCP/TLS1.3;0.511;
2635;AUTOMATTIC - Automattic;0.599;1561476546;tvline.com;;131.159.0.2;443;81.051;200;TCP/TLS1.2;0.482;
2635;AUTOMATTIC - Automattic;0.630;1561476548;tvline.com;;131.159.0.2;443;31.239;200;TCP/TLS1.3;0.370;
2635;AUTOMATTIC - Automattic;4.510;1561476549;bgr.com;;131.159.0.2;443;52.086;200;TCP/TLS1.2;0.420;
2635;AUTOMATTIC - Automattic;0.477;1561476550;bgr.com;;131.159.0.2;443;32.706;200;TCP/TLS1.3;0.431;
2635;AUTOMATTIC - Automattic;0.715;1561476551;deadline.com;;131.159.0.2;443;79.233;200;TCP/TLS1.2;0.504;
2635;AUTOMATTIC - Automattic;0.608;1561476552;deadline.com;;131.159.0.2;443;38.955;200;TCP/TLS1.3;0.496;
2635;AUTOMATTIC - Automattic;0.564;1561476553;elblogdelnarco.com;;131.159.0.2;443;85.566;200;TCP/TLS1.2;0.514;
2635;AUTOMATTIC - Automattic;0.604;1561476554;elblogdelnarco.com;;131.159.0.2;443;38.045;200;TCP/TLS1.3;0.516;
2635;AUTOMATTIC - Automattic;0.449;1561476554;support.wordpress.com;;131.159.0.2;443;50.620;301;TCP/TLS1.2;0.358;
2635;AUTOMATTIC - Automattic;0.548;1561476554;support.wordpress.com;;131.159.0.2;443;37.331;301;TCP/TLS1.3;0.513;
2635;AUTOMATTIC - Automattic;0.576;1561476555;electronics-tutorials.ws;;131.159.0.2;443;89.351;301;TCP/TLS1.2;0.549;
2635;AUTOMATTIC - Automattic;0.570;1561476555;electronics-tutorials.ws;;131.159.0.2;443;41.461;301;TCP/TLS1.3;0.543;
2635;AUTOMATTIC - Automattic;0.626;1561476555;files.wordpress.com;;131.159.0.2;443;69.614;301;TCP/TLS1.2;0.540;
2635;AUTOMATTIC - Automattic;0.539;1561476555;files.wordpress.com;;131.159.0.2;443;37.075;301;TCP/TLS1.3;0.490;
2635;AUTOMATTIC - Automattic;0.429;1561476556;observer.com;;131.159.0.2;443;71.192;200;TCP/TLS1.2;0.512;
2635;AUTOMATTIC - Automattic;0.603;1561476557;observer.com;;131.159.0.2;443;43.274;200;TCP/TLS1.3;0.558;
2635;AUTOMATTIC - Automattic;0.590;1561476558;denverpost.com;;131.159.0.2;443;372.368;301;TCP/TLS1.2;0.517;
2635;AUTOMATTIC - Automattic;0.585;1561476558;denverpost.com;;131.159.0.2;443;39.249;301;TCP/TLS1.3;0.513;
32475;SINGLEHOP-LLC - SingleHop LLC;0.433;1561476558;wordpress.org;;131.159.0.2;443;328.259;200;TCP/TLS1.2;0.543;
32475;SINGLEHOP-LLC - SingleHop LLC;0.597;1561476559;wordpress.org;;131.159.0.2;443;226.685;200;TCP/TLS1.3;0.586;
32475;SINGLEHOP-LLC - SingleHop LLC;0.643;1561476560;expatwomen.com;;131.159.0.2;443;378.192;200;TCP/TLS1.2;0.538;
32475;SINGLEHOP-LLC - SingleHop LLC;0.558;1561476561;expatwomen.com;;131.159.0.2;443;540.916;200;TCP/TLS1.3;0.557;
32475;SINGLEHOP-LLC - SingleHop LLC;0.594;1561476562;ewguides.com;;131.159.0.2;443;518.198;200;TCP/TLS1.2;8.182;
