Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;1.133;1561735990;spankbang.com;;131.159.0.2;443;66.283;302;TCP/TLS1.2;3.169;
13335;CLOUDFLARENET - Cloudflare;0.725;1561735991;spankbang.com;;131.159.0.2;443;43.386;302;TCP/TLS1.3;0.417;
13335;CLOUDFLARENET - Cloudflare;0.761;1561735991;udemy.com;;131.159.0.2;443;272.984;301;TCP/TLS1.2;0.410;
13335;CLOUDFLARENET - Cloudflare;0.758;1561735991;udemy.com;;131.159.0.2;443;45.222;301;TCP/TLS1.3;0.386;
13335;CLOUDFLARENET - Cloudflare;0.665;1561735992;medium.com;;131.159.0.2;443;56.613;200;TCP/TLS1.2;0.336;
13335;CLOUDFLARENET - Cloudflare;0.588;1561735992;medium.com;;131.159.0.2;443;42.073;200;TCP/TLS1.3;0.349;
13335;CLOUDFLARENET - Cloudflare;0.640;1561735992;nexusmods.com;;131.159.0.2;443;67.513;301;TCP/TLS1.2;0.365;
13335;CLOUDFLARENET - Cloudflare;0.633;1561735993;nexusmods.com;;131.159.0.2;443;250.601;301;TCP/TLS1.3;0.386;
13335;CLOUDFLARENET - Cloudflare;0.672;1561735993;yts.lt;;131.159.0.2;443;65.385;200;TCP/TLS1.2;0.342;
13335;CLOUDFLARENET - Cloudflare;0.667;1561735994;yts.lt;;131.159.0.2;443;44.520;200;TCP/TLS1.3;0.405;
13335;CLOUDFLARENET - Cloudflare;0.638;1561735995;t66y.com;;131.159.0.2;443;74.757;200;TCP/TLS1.2;0.346;
13335;CLOUDFLARENET - Cloudflare;0.677;1561735995;t66y.com;;131.159.0.2;443;47.783;200;TCP/TLS1.3;0.430;
13335;CLOUDFLARENET - Cloudflare;0.629;1561735996;elbalad.news;;131.159.0.2;443;64.078;200;TCP/TLS1.2;0.400;
13335;CLOUDFLARENET - Cloudflare;0.657;1561735996;elbalad.news;;131.159.0.2;443;313.109;200;TCP/TLS1.3;0.361;
13335;CLOUDFLARENET - Cloudflare;0.635;1561735997;heroesofrpg.com;;131.159.0.2;443;59.194;200;TCP/TLS1.2;0.378;
13335;CLOUDFLARENET - Cloudflare;0.670;1561735997;heroesofrpg.com;;131.159.0.2;443;41.584;200;TCP/TLS1.3;0.408;
13335;CLOUDFLARENET - Cloudflare;0.507;1561735997;feedly.com;;131.159.0.2;443;93.597;200;TCP/TLS1.2;0.331;
13335;CLOUDFLARENET - Cloudflare;0.985;1561735998;feedly.com;;131.159.0.2;443;45.063;200;TCP/TLS1.3;0.565;
13335;CLOUDFLARENET - Cloudflare;0.657;1561735998;chouftv.ma;;131.159.0.2;443;268.888;200;TCP/TLS1.2;0.330;
13335;CLOUDFLARENET - Cloudflare;0.656;1561735998;chouftv.ma;;131.159.0.2;443;52.123;200;TCP/TLS1.3;0.286;
