Url,Ip,Holder,Asn
medium.com,2606:4700::6810:797f,CLOUDFLARENET - Cloudflare,13335
hubspot.com,2606:4700::6810:fb05,CLOUDFLARENET - Cloudflare,13335
udemy.com,2606:4700::6810:5c34,CLOUDFLARENET - Cloudflare,13335
blogspot.com,2a00:1450:4001:81d::2009,GOOGLE - Google LLC,15169
google.fr,2a00:1450:4001:818::2003,GOOGLE - Google LLC,15169
1337x.to,2606:4700:30::681f:1103,CLOUDFLARENET - Cloudflare,13335
google.com,2a00:1450:4001:80b::200e,GOOGLE - Google LLC,15169
google.com.tr,2a00:1450:4001:81a::2003,GOOGLE - Google LLC,15169
ntdtv.kr,2606:4700:10::6814:da81,CLOUDFLARENET - Cloudflare,13335
teachable.com,2606:4700::6813:ee75,CLOUDFLARENET - Cloudflare,13335
youtube.com,2a00:1450:4001:818::200e,GOOGLE - Google LLC,15169
thepiratebay.org,2606:4700:20::681b:d91c,CLOUDFLARENET - Cloudflare,13335
google.de,2a00:1450:4001:818::2003,GOOGLE - Google LLC,15169
google.co.uk,2a00:1450:4001:806::2003,GOOGLE - Google LLC,15169
google.co.jp,2a00:1450:4001:808::2003,GOOGLE - Google LLC,15169
google.es,2a00:1450:4001:825::2003,GOOGLE - Google LLC,15169
instagram.com,2406:da00:ff00::22e3:3717,AMAZON-AES - Amazon.com,14618
gstatic.com,2a00:1450:4001:80b::2003,GOOGLE - Google LLC,15169
ninisite.com,2606:4700:10::6814:449c,CLOUDFLARENET - Cloudflare,13335
spankbang.com,2606:4700:10::6814:2962,CLOUDFLARENET - Cloudflare,13335
blogger.com,2a00:1450:4001:817::2009,GOOGLE - Google LLC,15169
chouftv.ma,2606:4700:10::6814:a4b,CLOUDFLARENET - Cloudflare,13335
google.cl,2a00:1450:4001:80b::2003,GOOGLE - Google LLC,15169
infusionsoft.com,2606:4700::6810:9f6a,CLOUDFLARENET - Cloudflare,13335
google.ru,2a00:1450:4001:81b::2003,GOOGLE - Google LLC,15169
google.com.sg,2a00:1450:4001:818::2003,GOOGLE - Google LLC,15169
google.com.pk,2a00:1450:4001:825::2003,GOOGLE - Google LLC,15169
alodokter.com,2606:4700:20::6818:1f30,CLOUDFLARENET - Cloudflare,13335
google.ca,2a00:1450:4001:816::2003,GOOGLE - Google LLC,15169
lapatilla.com,2606:4700:30::681b:8745,CLOUDFLARENET - Cloudflare,13335
google.pt,2a00:1450:4001:81b::2003,GOOGLE - Google LLC,15169
result.pk,2606:4700:30::681f:41df,CLOUDFLARENET - Cloudflare,13335
