Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;28.379;1562427794;mediafire.com;;104.19.195.29;443;71.116;301;TCP/TLS1.2;9.666;
13335;CLOUDFLARENET - Cloudflare;4.019;1562427794;mediafire.com;;104.19.195.29;443;45.683;301;TCP/TLS1.3;9.627;
13335;CLOUDFLARENET - Cloudflare;14.683;1562427794;discordapp.com;;162.159.130.233;443;48.363;200;TCP/TLS1.2;9.655;
13335;CLOUDFLARENET - Cloudflare;3.669;1562427795;discordapp.com;;162.159.129.233;443;303.975;200;TCP/TLS1.3;9.623;
13335;CLOUDFLARENET - Cloudflare;27.012;1562427795;gloyah.net;;172.64.196.10;443;56.596;302;TCP/TLS1.2;9.649;
13335;CLOUDFLARENET - Cloudflare;3.941;1562427795;gloyah.net;;172.64.197.10;443;37.711;302;TCP/TLS1.3;9.571;
13335;CLOUDFLARENET - Cloudflare;27.781;1562427795;canva.com;;104.16.78.22;443;52.767;301;TCP/TLS1.2;9.662;
13335;CLOUDFLARENET - Cloudflare;3.922;1562427796;canva.com;;104.16.80.22;443;44.544;301;TCP/TLS1.3;9.660;
13335;CLOUDFLARENET - Cloudflare;26.869;1562427796;udemy.com;;104.16.92.52;443;56.931;301;TCP/TLS1.2;9.581;
13335;CLOUDFLARENET - Cloudflare;59.869;1562427796;udemy.com;;104.16.92.52;443;45.483;301;TCP/TLS1.3;9.575;
13335;CLOUDFLARENET - Cloudflare;26.560;1562427796;medium.com;;104.16.122.127;443;55.210;200;TCP/TLS1.2;9.610;
13335;CLOUDFLARENET - Cloudflare;3.426;1562427796;medium.com;;104.16.120.127;443;54.749;200;TCP/TLS1.3;9.644;
13335;CLOUDFLARENET - Cloudflare;27.202;1562427797;chaturbate.com;;104.16.147.241;443;49.467;200;TCP/TLS1.2;9.609;
13335;CLOUDFLARENET - Cloudflare;3.938;1562427798;chaturbate.com;;104.16.147.241;443;43.159;200;TCP/TLS1.3;9.552;
13335;CLOUDFLARENET - Cloudflare;28.136;1562427798;spankbang.com;;104.20.42.98;443;50.188;302;TCP/TLS1.2;9.620;
13335;CLOUDFLARENET - Cloudflare;4.073;1562427798;spankbang.com;;104.20.42.98;443;40.311;302;TCP/TLS1.3;9.561;
13335;CLOUDFLARENET - Cloudflare;26.057;1562427799;yts.lt;;104.25.136.117;443;51.882;200;TCP/TLS1.2;9.657;
13335;CLOUDFLARENET - Cloudflare;3.885;1562427799;yts.lt;;104.25.135.117;443;61.059;200;TCP/TLS1.3;9.651;
13335;CLOUDFLARENET - Cloudflare;39.656;1562427800;sciencedirect.com;;162.159.129.81;443;51.251;301;TCP/TLS1.2;9.616;
13335;CLOUDFLARENET - Cloudflare;3.098;1562427800;sciencedirect.com;;162.159.130.81;443;45.869;301;TCP/TLS1.3;9.562;
15169;GOOGLE - Google LLC;36.802;1562427800;google.com;;172.217.18.110;443;52.661;301;TCP/TLS1.2;9.309;
15169;GOOGLE - Google LLC;3.445;1562427800;google.com;;172.217.18.110;443;41.906;301;TCP/TLS1.3;9.251;
15169;GOOGLE - Google LLC;37.410;1562427800;google.co.jp;;216.58.205.227;443;51.799;301;TCP/TLS1.2;9.593;
15169;GOOGLE - Google LLC;3.313;1562427800;google.co.jp;;216.58.205.227;443;43.210;301;TCP/TLS1.3;9.440;
15169;GOOGLE - Google LLC;67.427;1562427800;youtube.com;;172.217.23.142;443;51.975;301;TCP/TLS1.2;9.212;
15169;GOOGLE - Google LLC;3.735;1562427800;youtube.com;;172.217.23.142;443;43.646;301;TCP/TLS1.3;9.278;
15169;GOOGLE - Google LLC;3.749;1562427801;google.de;;216.58.206.3;443;50.680;301;TCP/TLS1.2;9.337;
15169;GOOGLE - Google LLC;3.324;1562427801;google.de;;216.58.206.3;443;43.433;301;TCP/TLS1.3;9.266;
15169;GOOGLE - Google LLC;2421.238;1562427803;google.cn;;216.58.207.67;443;51.975;302;TCP/TLS1.2;9.294;
15169;GOOGLE - Google LLC;3.623;1562427803;google.cn;;216.58.207.67;443;41.716;302;TCP/TLS1.3;9.216;
15169;GOOGLE - Google LLC;42.797;1562427803;google.fr;;172.217.16.163;443;52.435;301;TCP/TLS1.2;9.492;
15169;GOOGLE - Google LLC;3.294;1562427803;google.fr;;172.217.16.163;443;41.999;301;TCP/TLS1.3;9.462;
15169;GOOGLE - Google LLC;343.555;1562427804;google.com.hk;;172.217.22.35;443;54.212;301;TCP/TLS1.2;9.479;
15169;GOOGLE - Google LLC;3.534;1562427804;google.com.hk;;172.217.22.35;443;44.462;301;TCP/TLS1.3;9.472;
15169;GOOGLE - Google LLC;38.192;1562427804;google.co.in;;172.217.16.131;443;52.911;301;TCP/TLS1.2;9.517;
15169;GOOGLE - Google LLC;3.559;1562427804;google.co.in;;172.217.16.131;443;43.486;301;TCP/TLS1.3;9.449;
15169;GOOGLE - Google LLC;39.739;1562427804;google.ru;;216.58.206.3;443;52.368;301;TCP/TLS1.2;9.145;
15169;GOOGLE - Google LLC;3.344;1562427804;google.ru;;216.58.206.3;443;41.492;301;TCP/TLS1.3;9.228;
15169;GOOGLE - Google LLC;74.294;1562427805;google.it;;216.58.207.67;443;52.319;301;TCP/TLS1.2;9.183;
15169;GOOGLE - Google LLC;3.172;1562427805;google.it;;216.58.207.67;443;41.830;301;TCP/TLS1.3;9.171;
32475;SINGLEHOP-LLC - SingleHop LLC;3756.768;1562427809;wordpress.org;;198.143.164.252;443;333.126;200;TCP/TLS1.2;104.743;
32475;SINGLEHOP-LLC - SingleHop LLC;3.856;1562427810;wordpress.org;;198.143.164.252;443;228.914;200;TCP/TLS1.3;104.633;
32475;SINGLEHOP-LLC - SingleHop LLC;1.782;1562427811;w.org;;198.143.164.252;443;334.086;301;TCP/TLS1.2;104.778;
32475;SINGLEHOP-LLC - SingleHop LLC;1.577;1562427811;w.org;;198.143.164.252;443;229.659;301;TCP/TLS1.3;104.816;
32475;SINGLEHOP-LLC - SingleHop LLC;1.821;1562427812;weliveentertainment.com;;77.104.163.68;443;343.411;200;TCP/TLS1.2;105.143;
32475;SINGLEHOP-LLC - SingleHop LLC;1.577;1562427813;weliveentertainment.com;;77.104.163.68;443;343.603;200;TCP/TLS1.3;105.148;
32475;SINGLEHOP-LLC - SingleHop LLC;1.554;1562427814;official-kmspico.com;;69.175.81.215;443;342.289;200;TCP/TLS1.2;104.955;
32475;SINGLEHOP-LLC - SingleHop LLC;1.506;1562427815;official-kmspico.com;;69.175.81.215;443;344.470;200;TCP/TLS1.3;105.021;
32475;SINGLEHOP-LLC - SingleHop LLC;51.380;1562427816;expatwomen.com;;77.104.156.65;443;339.723;200;TCP/TLS1.2;104.853;
32475;SINGLEHOP-LLC - SingleHop LLC;3.303;1562427817;expatwomen.com;;77.104.156.65;443;345.650;200;TCP/TLS1.3;104.934;
32475;SINGLEHOP-LLC - SingleHop LLC;1.667;1562427817;softdownload.com.br;;109.199.108.231;443;340.621;301;TCP/TLS1.2;105.019;
32475;SINGLEHOP-LLC - SingleHop LLC;1.455;1562427818;softdownload.com.br;;109.199.108.231;443;346.120;301;TCP/TLS1.3;104.970;
32475;SINGLEHOP-LLC - SingleHop LLC;26.744;1562427819;namethatporn.com;;65.60.58.36;443;334.328;200;TCP/TLS1.2;105.193;
32475;SINGLEHOP-LLC - SingleHop LLC;3.507;1562427820;namethatporn.com;;65.60.58.36;443;228.282;200;TCP/TLS1.3;104.882;
32475;SINGLEHOP-LLC - SingleHop LLC;362.448;1562427821;abante.com.ph;;109.73.226.42;443;340.515;301;TCP/TLS1.2;104.897;
32475;SINGLEHOP-LLC - SingleHop LLC;3.845;1562427822;abante.com.ph;;109.73.226.42;443;344.137;301;TCP/TLS1.3;105.088;
32475;SINGLEHOP-LLC - SingleHop LLC;1.499;1562427822;fontfabric.com;;37.60.230.212;443;79.128;301;TCP/TLS1.2;18.282;
32475;SINGLEHOP-LLC - SingleHop LLC;1.410;1562427822;fontfabric.com;;37.60.230.212;443;81.675;301;TCP/TLS1.3;18.222;
32475;SINGLEHOP-LLC - SingleHop LLC;45.557;1562427822;laatech.net;;107.6.140.19;443;84.495;200;TCP/TLS1.2;18.272;
32475;SINGLEHOP-LLC - SingleHop LLC;3.231;1562427823;laatech.net;;107.6.140.19;443;84.443;200;TCP/TLS1.3;18.216;
19551;INCAPSULA - Incapsula Inc;1.650;1562427823;tcgplayer.com;;192.230.66.118;443;359.685;301;TCP/TLS1.2;112.940;
19551;INCAPSULA - Incapsula Inc;1.544;1562427824;tcgplayer.com;;192.230.66.118;443;360.401;301;TCP/TLS1.3;113.016;
19551;INCAPSULA - Incapsula Inc;32.028;1562427824;serasaconsumidor.com.br;;45.60.11.174;443;359.296;301;TCP/TLS1.2;112.990;
19551;INCAPSULA - Incapsula Inc;3.508;1562427825;serasaconsumidor.com.br;;45.60.11.174;443;358.049;301;TCP/TLS1.3;112.904;
